"January 3, 2025 at 04:37AM",Beyond The See,Olivia Olson,2bAASkLtyQXIVS45T02h1U,https://open.spotify.com/track/2bAASkLtyQXIVS45T02h1U
"January 3, 2025 at 04:39AM",Ballad of the lonely robot (Stray lofi mix),Nostalgia,0IleBC7s5IfAYpvPyCHqBm,https://open.spotify.com/track/0IleBC7s5IfAYpvPyCHqBm
"January 3, 2025 at 04:42AM",Die Anywhere Else,Alec Holowka,4oCeMWwBmMmfAjGwSvrTa4,https://open.spotify.com/track/4oCeMWwBmMmfAjGwSvrTa4
"January 3, 2025 at 04:44AM",Time Adventure,MathematicPony,44Jgfo50jgFCCqZc6zeTAD,https://open.spotify.com/track/44Jgfo50jgFCCqZc6zeTAD
"January 3, 2025 at 04:48AM",Snapdragon,Therm,7cvHMM5vZ8hu5QCxos9jN4,https://open.spotify.com/track/7cvHMM5vZ8hu5QCxos9jN4
"January 3, 2025 at 06:39AM",Space Date,Tobiitobes,1X1fodr7heqjemlmsm95T2,https://open.spotify.com/track/1X1fodr7heqjemlmsm95T2
"January 3, 2025 at 10:27AM",Can't Think,SomeThingElseyt,7C3RPhYCyp4dtvdpT44k0l,https://open.spotify.com/track/7C3RPhYCyp4dtvdpT44k0l
"January 3, 2025 at 11:43AM",Can't Think,SomeThingElseyt,7C3RPhYCyp4dtvdpT44k0l,https://open.spotify.com/track/7C3RPhYCyp4dtvdpT44k0l
"January 3, 2025 at 11:46AM",To the Mountains,Lizzy McAlpine,4jLxibvYRtzEAiTDvbL9fO,https://open.spotify.com/track/4jLxibvYRtzEAiTDvbL9fO
"January 3, 2025 at 11:48AM",Sappho,Frankie Cosmos,5DIGt883aHs3KqWSziy4gR,https://open.spotify.com/track/5DIGt883aHs3KqWSziy4gR
"January 3, 2025 at 11:52AM",Hello My Old Heart,The Oh Hellos,66MXa8qDIQRtwuxuNtjNCu,https://open.spotify.com/track/66MXa8qDIQRtwuxuNtjNCu
"January 3, 2025 at 11:56AM",Pancakes for Dinner,Lizzy McAlpine,1WThEmIxSyaqG6fVsyCmcL,https://open.spotify.com/track/1WThEmIxSyaqG6fVsyCmcL
"January 3, 2025 at 12:00PM",Silly Girl,chloe moriondo,0ZP3E9L1I0C6rmD0CAKqDc,https://open.spotify.com/track/0ZP3E9L1I0C6rmD0CAKqDc
"January 3, 2025 at 12:03PM",Real Estate,Adam Melchor,2VvTMIXG760UiG9OSiFt9j,https://open.spotify.com/track/2VvTMIXG760UiG9OSiFt9j
"January 3, 2025 at 12:08PM",doomsday,Lizzy McAlpine,4WjxtORnwPavm5PDsAWJEc,https://open.spotify.com/track/4WjxtORnwPavm5PDsAWJEc
"January 3, 2025 at 12:12PM",Man on the Moon,Zella Day,08lkp84AN53aDQibAbA4cv,https://open.spotify.com/track/08lkp84AN53aDQibAbA4cv
"January 3, 2025 at 12:15PM",Bitter Water,The Oh Hellos,2mijcmCvkvig8SkNCgYZC5,https://open.spotify.com/track/2mijcmCvkvig8SkNCgYZC5
"January 3, 2025 at 12:17PM",Things Will Get Better,Vian Izak,6kwSLy3k26DmViHzS7sDfn,https://open.spotify.com/track/6kwSLy3k26DmViHzS7sDfn
"January 3, 2025 at 12:19PM",I'd Have to Think About It,Leith Ross,3MkEVGXroAZV4BAtBV9yOf,https://open.spotify.com/track/3MkEVGXroAZV4BAtBV9yOf
"January 3, 2025 at 01:55PM",August (Acoustic),flipturn,2JXiyD1zucGdFmnTeYb5Ry,https://open.spotify.com/track/2JXiyD1zucGdFmnTeYb5Ry
"January 3, 2025 at 07:09PM",August (Acoustic),flipturn,2JXiyD1zucGdFmnTeYb5Ry,https://open.spotify.com/track/2JXiyD1zucGdFmnTeYb5Ry
"January 3, 2025 at 07:59PM",Body Terror Song,AJJ,3D1PuFi2U8lmtdWRZcCz1f,https://open.spotify.com/track/3D1PuFi2U8lmtdWRZcCz1f
"January 3, 2025 at 08:02PM",Mawce,Everybody's Worried About Owen,4NVrOwMRWnKcDTESVVqMXM,https://open.spotify.com/track/4NVrOwMRWnKcDTESVVqMXM
"January 3, 2025 at 11:02PM",Jubilee Line,Wilbur Soot,0F3kMN9OPXr0b5metJq2M1,https://open.spotify.com/track/0F3kMN9OPXr0b5metJq2M1
"January 3, 2025 at 11:04PM",Soft Bitch,Rio Romeo,3S3sNBSyQkPikx15XIA1Zy,https://open.spotify.com/track/3S3sNBSyQkPikx15XIA1Zy
"January 3, 2025 at 11:08PM",Get Used to It,Ricky Montgomery,47xKMQCtAn2C4hL9h5EvQy,https://open.spotify.com/track/47xKMQCtAn2C4hL9h5EvQy
"January 3, 2025 at 11:10PM",I Deserve to Bleed,Sushi Soucy,2gnTpHUZZyUgdRn2IFJczm,https://open.spotify.com/track/2gnTpHUZZyUgdRn2IFJczm
"January 3, 2025 at 11:13PM",My Heart Is Buried in Venice,Ricky Montgomery,02H1K5Cw9Ar89b35XwSEw6,https://open.spotify.com/track/02H1K5Cw9Ar89b35XwSEw6
"January 3, 2025 at 11:16PM",Tongues & Teeth,The Crane Wives,79V78aPtRh3XkqdN5b8NZk,https://open.spotify.com/track/79V78aPtRh3XkqdN5b8NZk
"January 3, 2025 at 11:18PM",Average,Sushi Soucy,0L0qikeCR07Gm1Ep7Gipkv,https://open.spotify.com/track/0L0qikeCR07Gm1Ep7Gipkv
"January 3, 2025 at 11:23PM",Lotta True Crime,Penelope Scott,18jbMG8etanCMt6C5wFRDa,https://open.spotify.com/track/18jbMG8etanCMt6C5wFRDa
"January 3, 2025 at 11:26PM",frog,Cavetown,2AQdzXePqssMvFJwzbKwAw,https://open.spotify.com/track/2AQdzXePqssMvFJwzbKwAw
"January 4, 2025 at 12:13AM",I / Me / Myself,Will Wood,1lqj3wgPj8gHCdq46hUjvr,https://open.spotify.com/track/1lqj3wgPj8gHCdq46hUjvr
"January 4, 2025 at 12:15AM",Strawberry Blond,Mitski,1EO9dn7V0ufwPHJngZThO5,https://open.spotify.com/track/1EO9dn7V0ufwPHJngZThO5
"January 4, 2025 at 12:20AM",overgrown garden,Beetlebug,3HFhoym0OFKcbxycJRk8l4,https://open.spotify.com/track/3HFhoym0OFKcbxycJRk8l4
"January 4, 2025 at 12:23AM",Dead Girls,Penelope Scott,2sVltS0DdwGGRphHfDtV3j,https://open.spotify.com/track/2sVltS0DdwGGRphHfDtV3j
"January 4, 2025 at 12:26AM",Idea of Her,Cavetown,167NK7xPIRNKnSmUE9dBrQ,https://open.spotify.com/track/167NK7xPIRNKnSmUE9dBrQ
"January 4, 2025 at 12:30AM",Trying,Cavetown,6okfc9cxb2svHFgrqtFPG6,https://open.spotify.com/track/6okfc9cxb2svHFgrqtFPG6
"January 4, 2025 at 12:34AM",Fool,Cavetown,7asyVbwQE7IbA3x2be7bdI,https://open.spotify.com/track/7asyVbwQE7IbA3x2be7bdI
"January 4, 2025 at 12:37AM",Fight or Flight,Conan Gray,0yfDVYKVKYrHknz9gVOlQr,https://open.spotify.com/track/0yfDVYKVKYrHknz9gVOlQr
"January 4, 2025 at 12:40AM",Empty Bed,Cavetown,6089oCEXX1CepR054WgW2m,https://open.spotify.com/track/6089oCEXX1CepR054WgW2m
"January 4, 2025 at 12:46AM",Hug All Ur Friends,Cavetown,7KVA9XflawdJaRBd1XYkJu,https://open.spotify.com/track/7KVA9XflawdJaRBd1XYkJu
"January 4, 2025 at 12:50AM",Never Love an Anchor,The Crane Wives,7JLm1z8cu49xpXPO1TdZnG,https://open.spotify.com/track/7JLm1z8cu49xpXPO1TdZnG
"January 4, 2025 at 12:53AM",passing papers,Egg,67tSLKUc0HqFe0cIFKJUIk,https://open.spotify.com/track/67tSLKUc0HqFe0cIFKJUIk
"January 4, 2025 at 12:54AM",Coffee,Jack Stauber's Micropop,2zmo93xTzKTP0lztR9iy9H,https://open.spotify.com/track/2zmo93xTzKTP0lztR9iy9H
"January 4, 2025 at 12:55AM",Introduction to the Snow,Miracle Musical,7qLs0IyUn6TrqgMzQ33SdH,https://open.spotify.com/track/7qLs0IyUn6TrqgMzQ33SdH
"January 4, 2025 at 12:57AM",Lover (take me to the moon) - demo,Madylin Gilbert,70gFbSkpt8Yj4DhToyXzpG,https://open.spotify.com/track/70gFbSkpt8Yj4DhToyXzpG
"January 4, 2025 at 01:00AM",Everyday is the Best Day of My Life,Rio Romeo,4vB1VyZYSSdZYH9QNaSJIa,https://open.spotify.com/track/4vB1VyZYSSdZYH9QNaSJIa
"January 4, 2025 at 01:03AM",Here Comes a Thought (feat. Estelle & AJ Michalka),Steven Universe,1SJhYNxOZSItqrB6upWyE6,https://open.spotify.com/track/1SJhYNxOZSItqrB6upWyE6
"January 4, 2025 at 01:16AM",Maybe I Was Boring,Wilbur Soot,7nKllnHIkLet3a3JKWrPtI,https://open.spotify.com/track/7nKllnHIkLet3a3JKWrPtI
"January 4, 2025 at 01:18AM",Taunt,Lovejoy,7sYMyRZ4bMyuIY5N3vbA6q,https://open.spotify.com/track/7sYMyRZ4bMyuIY5N3vbA6q
"January 4, 2025 at 01:22AM",Perfume,Lovejoy,7ITzf6TxMKnUwgXfNRfMxI,https://open.spotify.com/track/7ITzf6TxMKnUwgXfNRfMxI
"January 4, 2025 at 01:26AM",anarchy,Egg,7cxcMgTHKSZ25C0q1i50Dk,https://open.spotify.com/track/7cxcMgTHKSZ25C0q1i50Dk
"January 4, 2025 at 01:29AM",Sunflower,Michele Leigh,1camd9eP6HEbhNjXww8FKN,https://open.spotify.com/track/1camd9eP6HEbhNjXww8FKN
"January 4, 2025 at 01:30AM",Look Who’s Inside Again,Bo Burnham,0lZZ8pibk6Zu3M9hTthk1a,https://open.spotify.com/track/0lZZ8pibk6Zu3M9hTthk1a
"January 4, 2025 at 01:32AM",i think i wanna be alone,mazie,0uORqw0i7S97SG4dwb4Ett,https://open.spotify.com/track/0uORqw0i7S97SG4dwb4Ett
"January 4, 2025 at 01:35AM",Saline Solution,Wilbur Soot,0QUgSlWpeW7VCkLmrc58RU,https://open.spotify.com/track/0QUgSlWpeW7VCkLmrc58RU
"January 4, 2025 at 01:38AM",Top of My School,Katherine Lynn-Rose,5OKyAO31eOeJV5qEx2lv4k,https://open.spotify.com/track/5OKyAO31eOeJV5qEx2lv4k
"January 4, 2025 at 01:40AM",Since I Saw Vienna,Wilbur Soot,0tPAksKbZTl8VLslZErQnE,https://open.spotify.com/track/0tPAksKbZTl8VLslZErQnE
"January 4, 2025 at 01:43AM",One Day,Lovejoy,58U47mHjyLwUwJZ7voUt15,https://open.spotify.com/track/58U47mHjyLwUwJZ7voUt15
"January 4, 2025 at 01:47AM",The Chapel,Madilyn Mei,56arCLc32xVkE8Dx2RIVR0,https://open.spotify.com/track/56arCLc32xVkE8Dx2RIVR0
"January 4, 2025 at 07:33AM",August (Acoustic),flipturn,2JXiyD1zucGdFmnTeYb5Ry,https://open.spotify.com/track/2JXiyD1zucGdFmnTeYb5Ry
"January 4, 2025 at 07:40AM",OLD STORIES,Kevin Penkin,5FHMiH3xAfrD8TN86wgYp1,https://open.spotify.com/track/5FHMiH3xAfrD8TN86wgYp1
"January 4, 2025 at 07:51AM",Winter trip - Remix ver.,Caramel Column,1kSPBA5Oa5pi7T6iCiHs00,https://open.spotify.com/track/1kSPBA5Oa5pi7T6iCiHs00
"January 4, 2025 at 01:47AM",Art Is Dead,Bo Burnham,3n9ABQpqK6EgaOPEtfzD4I,https://open.spotify.com/track/3n9ABQpqK6EgaOPEtfzD4I
"January 4, 2025 at 12:08PM",MainTheme,Lizardry,2AGfmZJV5d90fQa2oI7a5b,https://open.spotify.com/track/2AGfmZJV5d90fQa2oI7a5b
"January 4, 2025 at 12:55PM",echo,lillybug,2eadEbamF6phQhks7HiIpT,https://open.spotify.com/track/2eadEbamF6phQhks7HiIpT
"January 4, 2025 at 12:59PM",Be Your Girl,Ellie,58XeIibtqyzZ2GBX4vmc4O,https://open.spotify.com/track/58XeIibtqyzZ2GBX4vmc4O
