"December 3, 2024 at 12:31AM",Maniac,Flower Face,56O4WlGoUJiwfwoyRYqTe9,https://open.spotify.com/track/56O4WlGoUJiwfwoyRYqTe9
"December 3, 2024 at 12:35AM",Firing Sideways,Grace Gardner,1twpf8UNkH362vXO63l28C,https://open.spotify.com/track/1twpf8UNkH362vXO63l28C
"December 3, 2024 at 12:38AM",take it off,Keni Titus,317sqVXjumPF2ucELiBVKE,https://open.spotify.com/track/317sqVXjumPF2ucELiBVKE
"December 3, 2024 at 12:41AM",Evergreen,Delaney Bailey,1BeVLZu8ifoIjjLcLGENBh,https://open.spotify.com/track/1BeVLZu8ifoIjjLcLGENBh
"December 3, 2024 at 12:45AM",Water Running,Delaney Bailey,1M7OIUPCi2htd1LuoGZBZ3,https://open.spotify.com/track/1M7OIUPCi2htd1LuoGZBZ3
"December 3, 2024 at 12:50AM",Smaller,Grace Gardner,4dJ7GtHADpM0zopmsbACZK,https://open.spotify.com/track/4dJ7GtHADpM0zopmsbACZK
"December 3, 2024 at 12:53AM",Forward To The Kill,Sydney Ross Mitchell,1ofeWTl75uUwmsARpR01Gl,https://open.spotify.com/track/1ofeWTl75uUwmsARpR01Gl
"December 3, 2024 at 12:56AM",hunting days,Khatumu,6zsCOSqaG0QiWoTqJkRpEG,https://open.spotify.com/track/6zsCOSqaG0QiWoTqJkRpEG
"December 3, 2024 at 01:00AM",if you stay,Aubory Bugg,4neXauHyKxZX2sPvgnfkeY,https://open.spotify.com/track/4neXauHyKxZX2sPvgnfkeY
"December 3, 2024 at 01:03AM",toothache,Searows,6vca0aMELa1kc6mIs6w39c,https://open.spotify.com/track/6vca0aMELa1kc6mIs6w39c
"December 3, 2024 at 01:07AM",Force of Nature,Lizzy McAlpine,3gRJynimeVjLlVoGtjzhtE,https://open.spotify.com/track/3gRJynimeVjLlVoGtjzhtE
"December 3, 2024 at 01:10AM",Sting,Sydney Ross Mitchell,0TzhElfiPyHwk2fbHnbOlE,https://open.spotify.com/track/0TzhElfiPyHwk2fbHnbOlE
"December 3, 2024 at 01:13AM",something to believe,Keni Titus,6HJRmfybAPlSkaRPPHAwG8,https://open.spotify.com/track/6HJRmfybAPlSkaRPPHAwG8
"December 3, 2024 at 01:19AM",Normalcy,Gigi Perez,2cTVoD2dYSjsxHbtvKsAHq,https://open.spotify.com/track/2cTVoD2dYSjsxHbtvKsAHq
"December 3, 2024 at 01:24AM",Glue,Gigi Perez,4EbwhvDv0TFLN7SjuOUjym,https://open.spotify.com/track/4EbwhvDv0TFLN7SjuOUjym
"December 3, 2024 at 03:00AM","Girlhood, Godhood",Tommy Lefroy,50arhjErqvGjMz07YgebJx,https://open.spotify.com/track/50arhjErqvGjMz07YgebJx
